label,text
request,what is the phone number
inform,food
inform,can i have a cheap restaurant
inform,expensive restaurant
inform,traditional food
inform,italian food
negate,no
inform,im looking for a cheap restaurant in the east part of town
request,what is their address
inform,indian food
null,noise
request,what type of food
request,whats the address
inform,moderate
request,address
reqalts,how about modern european food
reqalts,what about vietnamese type of food
inform,any area
request,what is the phone number
inform,austrian food
request,whats its address
negate,no
inform,catalan
inform,gastropub
inform,i want to find a moderately priced restaurant
negate,not
reqalts,how about a portuguese restaurant
inform,i dont care
reqalts,anything else
thankyou,thank you good bye
inform,any of town
inform,vietnamese in the center part of town
null,post
inform,okay then any
thankyou,thank you good bye
request,the price range
inform,uh korean food
confirm,is it expensive
reqalts,how about french food
inform,thai
request,and whats their price range
thankyou,thank you good bye
thankyou,thank you good bye
inform,a restaurant
request,whats the post code
thankyou,okay thank you good bye
request,whats the cost
thankyou,thank you good bye
reqalts,how about british food
inform,any price range
thankyou,thank you good bye
inform,lebanese
negate,no indian restaurant
request,noise address
request,post code
request,address
inform,im looking for an expensive restaurant that serves korean food
thankyou,thank you good bye
thankyou,thank you good bye
request,address
inform,south part of town
thankyou,thank you good bye
request,can i have the post code
request,address
inform,does not matter
inform,im looking for a cheap restaurant
reqalts,what about chinese type of food
inform,change that to any price range
inform,i want to find a moderately priced restaurant and it should serve
inform,french noise
request,whats the address
reqalts,what about european food
inform,in the moderately price range
inform,dont care
request,what is the address and post code
inform,chinese restaurant
reqalts,anything else
reqalts,anything else
inform,hello chinese type of food
affirm,yes
inform,portuguese food
affirm,yes
null,did you hang up on me
inform,indian food
inform,any kind
request,can i have their phone number
request,address
inform,south
request,phone number
request,what is their address
inform,dont care
request,what is the address
request,can i get the phone number
null,i
inform,id like a moderately priced restaurant that serves
hello,hello
inform,korean food
inform,east
request,can i get the post code
thankyou,thank you
inform,dont care
negate,no
thankyou,thank you good bye
request,could i have the area please
thankyou,thank you good bye
request,whats the phone number
request,what type of food
inform,dont care
reqalts,is there anything else
inform,im looking for a moderate priced restaurant that serves indian food
request,what is the address
request,how about the phone number
request,address
inform,expensive restaurant scottish food
thankyou,thank you goodbye
thankyou,thank you good bye
null,okay
thankyou,thank you good bye
inform,cheap
request,post code
request,and what is their phone number
request,what is their address
thankyou,thank you good bye
inform,moderate
request,address
null,unintelligible
request,phone number
null,noise
inform,im looking for a cheap restaurant
request,where is it
thankyou,thank you good bye
inform,thai
inform,in the south
inform,derately priced
request,whats their phone number
request,id like the phone number of the restaurant you just told me
request,may i have the address and phone number please
thankyou,thank you good bye
null,dress
null,and ah
inform,cheap
request,whats the price range
inform,it doesnt matter
affirm,yes
request,phone number
affirm,yes
affirm,yes
thankyou,thank you good bye
inform,im looking for an expensive restaurant that serves korean
reqalts,is there anything else
inform,anything
null,unintelligible
thankyou,thank you goodbye
thankyou,thank you good bye
inform,moroccan
request,phone number
inform,any part of town
inform,spanish
inform,cheap
request,the phone number
inform,cheap restaurant south part of town
request,phone number
null,sil
request,what area
affirm,yes
thankyou,okay thank you
null,system
null,sil
bye,okay thank you and good bye
inform,seafood
reqalts,how about british food
inform,part of town that serves asian food
request,what is the address and post code
reqalts,anything else
negate,no
thankyou,thank you good bye
thankyou,thank you good bye
request,what area
request,could i have the address please
thankyou,thank you good bye
request,whats the phone number
inform,i dont care
thankyou,thank you good bye
inform,im looking for a restaurant in the moderate price range
thankyou,thank you good bye
inform,what asian oriental food
affirm,yes
null,unintelligible
null,noise
inform,east part of town i need an expensive restaurant
inform,i want a cheap restaurant in the north part of town
inform,not korean
inform,jamaican
inform,breath id like a moderately priced restaurant that serves thai food
request,address
request,whats your phone number and post code
inform,vietnamese food
request,whats their phone number
reqalts,what about italian food
request,what is the address
inform,dont care
inform,japanese food
thankyou,thank you good bye
request,phone number
inform,any type of food
inform,international
null,sil
thankyou,thank you good bye
inform,lebanese
request,whats the phone number
inform,any
inform,unusual
inform,um anything else please
inform,uh id like steakhouse food
inform,it should be in the north part of town
inform,any
inform,something in the north part of town serving chinese food
affirm,yes
negate,no north
thankyou,thank you good bye
inform,um is there one selling indian
thankyou,thank you good bye
inform,korean
request,phone number
inform,any
request,what is the type of food
inform,south
inform,chinese food
request,whats the address
request,and the address
request,what area of town is it
inform,anything
request,whats the phone number
inform,australian
inform,italian type of food
inform,moderately
inform,i want a cheap restaurant that serves unusual food
inform,doesnt matter
reqalts,um how about european food
inform,european
reqalts,how about thai food
confirm,is that persian food
inform,center
thankyou,thank you good bye
request,phone number
inform,international
request,whats the phone number
inform,german food
request,phone number
request,west is the address and phone number
reqalts,is there anything else
inform,cantonese food
affirm,yes
inform,canapes
confirm,is there a portugeuse food
inform,breath im looking for a moderately priced restaurant in the east p
null,unintelligible
request,phone
inform,it doesnt matter
inform,moderately priced
inform,moderate
inform,yea im looking for a moderately priced restaurant
inform,spanish
request,may i have the address and the phone number
request,whats the phone number
inform,spanish
inform,any
inform,moderate
request,may i have the phone number
request,whats their address
thankyou,thank you good bye
inform,uh the west part of town
reqalts,uh what about chinese food
inform,indian
inform,id like a restaurant in the north part of town that serves cross over food
affirm,yes
reqalts,anything else
request,whats the price range
inform,world food
null,um
request,uh could you repeat the phone number
inform,afghan food
affirm,yes
request,ah could you give me the address
null,breathing
thankyou,thank you good bye
null,what about
request,and whats the post code
thankyou,thank you goodbye
affirm,yes
inform,french
thankyou,thank you good bye
inform,looking for spanish food in the center of town
inform,indonesian food
request,and the phone number
inform,north
request,address
inform,spanish food
null,sil
inform,japanese
inform,i would like to find a cheap restaurant and it should be in the south
request,what type of food do they serve
inform,moderately
inform,id like to find a restaurant that serves korean food
inform,looking for a cheap restaurant in the north part of town
inform,expensive
inform,north
reqalts,how about turkish
inform,european food
request,address phone number postcode
request,ah whats the phone number
inform,id like an expensive italian restaurant
request,telephone number
inform,asian
inform,indian food
inform,expensive
inform,i dont care
inform,im looking for a restaurant
inform,east
request,address
request,whats the address
request,can i have the address
inform,mediterranean
affirm,yes
inform,im looking for a cheap restaurant
thankyou,thank you good bye
request,address
null,noise
thankyou,thank you goodbye
affirm,yes
request,price range
request,uh whats the phone number
inform,any
null,system
inform,the east part of town
request,address
inform,it doesnt matter
inform,south
inform,expensive
request,price range
null,cough
inform,british food north part of town
inform,european food
inform,im looking for a restaurant in the east part of town
inform,south
inform,tuscan food
request,may i have the address
request,phone number
request,what is the address
thankyou,uh thank you and goodbye
thankyou,thank you good bye
thankyou,thank you good bye
inform,indian food
confirm,does it serve caribbean food
inform,i want a moderately priced chinese restaurant
inform,east part
inform,west
reqalts,how about asian oriental
bye,see you goodbye
inform,thai food
inform,breath id like a cheap restaurant in the south part of town
request,what is the address
request,whats the phone number and address
thankyou,thank you good bye
affirm,yes
inform,i need a moderately priced restaurant in the part of town
request,whats the address and phone number
thankyou,thank you good bye
inform,cheap
request,uh okay how about the address
repeat,again please
inform,moderately priced priced restaurant chinese food
request,post code
thankyou,thank you good bye
inform,moderate price restaurant
reqalts,how about a gastropub
request,can i get the address
inform,north
inform,i dont care
thankyou,thank you good bye
request,whats their address
inform,any
inform,gastropub food
request,can i have the phone number
affirm,yea
request,what is the phone number
inform,im looking in the south of the town
affirm,yes
request,address
inform,i dont care
inform,im looking for a restaurant with irish food
inform,cheap restaurant
request,and the phone number
request,can i get a phone number please
null,unintelligible
affirm,yeah im looking for a cheap restaurant
reqalts,how about indian type of food
inform,traditional food
inform,thai
affirm,yes
null,system
thankyou,thank you good bye
inform,moderately priced
request,what kind of food
inform,it doesnt matter
inform,any
inform,breath im looking for a restaurant in the south part of town that serves malaysian food
inform,italian food
thankyou,thank you good bye
reqalts,what about north american food
inform,im looking for a moderately priced restaurant serving spanish food
inform,restaurant south part of town
thankyou,thank you good bye
null,unintelligible
inform,asian oriental food
inform,cheap price range
request,whats their phone number
inform,im looking for a vietnamese restaurant
inform,any
inform,i want a restaurant in any area that serves vietnamese food
inform,brazilian food
inform,the north part of town
bye,alright thank you good bye
request,address
inform,im looking for an expensive restaurant in the south part of town
affirm,yes
request,phone number
bye,okay thank you and good bye
inform,were else food
null,noise
request,area
null,sil
thankyou,thank you good bye
request,post code
null,sil
request,type of food
negate,no
inform,pan asian food
inform,indian food
reqalts,how about indian
thankyou,thank you good bye
request,what is the phone number
inform,i want to find a cheap restaurant in the west part of town
request,phone number and address
thankyou,thank you good bye
request,what is the address
thankyou,thank you good bye
request,what is their area
request,address
inform,west
request,type of food does it serve
request,address
inform,im looking for an expensive restaurant in the south part of town
inform,dont care
bye,okay thank you and good bye
affirm,yes
thankyou,thank you good bye
request,phone number
inform,i dont care
null,unintelligible
restart,start over
inform,moderately priced
inform,unintelligible food
request,what type of food
null,noise
null,noise
thankyou,thank you good bye
null,can i get a
inform,south
inform,italian
request,can i get the address tv_noise
inform,german food
inform,i dont care
request,popular dish
request,what price range is it
request,what is their address
request,phone number
thankyou,thank you good bye
inform,it doesnt matter
inform,any moderately
inform,south
request,breath what type of food is it
inform,moderately priced in the west part of town
request,tasty then whats the phone number
inform,indian
request,whats the address
inform,a cheap
inform,im looking for turkish food in the center
thankyou,thank you good bye
inform,find restaurant in north part of town serving fusion food
request,phone number
inform,i want a restaurant in the center that serves french food
request,may i have the postcode
inform,south
reqalts,how bout indian food
negate,no
reqalts,what about thai food
thankyou,thank you goodbye noise
thankyou,thank you good bye
request,what type of food
thankyou,thank you good bye
request,what is their phone number
inform,irish food on the east part of town
inform,looking for cheap barbecue food
inform,i want a moderately priced restaurant in the south part of town
inform,scandinavian food
request,phone number
request,can i get the address
thankyou,thank you good bye
inform,uh african food
null,sil
reqalts,and what is the other restaurant
hello,hello im looking for a cheap restaurant in the west part of town
request,phone number
request,address
request,address
reqalts,how about turkish food
inform,any area expensive price range
reqalts,how about indian food
null,sil
affirm,yes
null,noise
inform,im looking for a moderately priced restaurant in the south part of town
inform,traditional food
thankyou,thank you good bye
request,phone number
affirm,right
request,may i have the post code
request,phone number
affirm,yeah
null,sil
affirm,yeah
request,phone number
inform,breath i am looking for a restaurant in any area that serves gastropub type of food
null,unintelligible
thankyou,thank you good bye
inform,i dont care
reqalts,is there a restaurant that has british food
inform,i dont care
inform,cheap
reqalts,anything else
thankyou,thank you good bye
inform,north american food
thankyou,thank you and good
null,unintelligible
inform,change that to chinese food
reqalts,is there anything else
reqalts,anything else
request,whats the phone number
inform,im looking for a restaurant in any area
inform,im looking for a restaurant serving chinese food
affirm,yes
request,whats the address
null,noise
inform,it doesnt matter
inform,kosher food in the north
thankyou,thank you good bye
inform,im looking for a cheap restaurant that serves german food
inform,i want a moderately priced restaurant that
affirm,yes
inform,italian
thankyou,thank you good bye
thankyou,thank you good bye
inform,north american type of food
negate,no im looking for gastropub food
inform,vietnamese food
inform,that serves jamaican food
request,post code
inform,indian food
inform,im looking for a restaurant in north part of town serving austrian food
thankyou,thank you good bye
request,can i have their address
thankyou,thank you good bye
null,noise
thankyou,thank you good bye
reqalts,is there anything else
thankyou,thank you good bye
request,whats the phone number
inform,north part of town turkish food
request,can i get the address and price range
request,and whats its phone number
negate,no in the south
request,phone number
reqalts,how about chinese food
inform,it doesnt matter
affirm,yeah
thankyou,okay thank you good bye
thankyou,thank you good bye
request,the phone number
request,could i have their address and phone number
null,unintelligible
inform,noise east
request,could i have its number
request,address
inform,east
thankyou,thank you good bye
affirm,yes can i have restaurants serving
request,the phone number
reqalts,give me another one
inform,im looking for an expensive restaurant in the south part of town
request,what is the address of the
inform,i dont care
negate,no
inform,european food
negate,no
request,and the address
reqalts,what about portuguese food
request,phone number
request,phone number
thankyou,thank you
affirm,yes
inform,im looking for a cheap restaurant in the west part of town
reqalts,how about italian food
inform,expensive russian food
inform,im looking for a spanish restaurant
request,what type of food does it serve
affirm,yeah
affirm,yes
request,may i have the phone number
request,whats the phone number
request,what is the address
inform,world
confirm,does it serve korean food
inform,christmas food
inform,moderately priced restaurant in the west
request,address
inform,um i need a cheap restaurant
inform,north american
inform,if there is no such venue how about european type of
request,whats their address
null,noise
inform,portuguese food
inform,expensive
null,sil
inform,north
inform,a restaurant that serves creative food
request,can i get the address and phone number
thankyou,thank you good bye
thankyou,thank you good bye
request,phone number
request,and the phone number
request,whats the address
request,what is the address
request,whats the address
inform,cheap restaurant in the north part of town
inform,any
thankyou,thank you good bye
thankyou,um thank you goodbye
inform,i dont care
reqalts,what about british
reqalts,anything else
inform,is there one with thai food
null,unintelligible
request,whats the address
deny,wrong
inform,sea food
inform,swedish food
request,can i have the address
inform,any area
negate,no
inform,south
inform,european food
affirm,yes
thankyou,thank you good bye
reqalts,how about italian type of food
request,phone number
inform,turkish food
inform,it doesnt matter
request,let me get the address
negate,no
inform,thai food
request,what is the address
request,address phone number and post code
inform,expensive
inform,french food
inform,gastropub
thankyou,thank you good bye
thankyou,thank you goodbye
thankyou,thank you good bye
inform,vietnamese
thankyou,thank you good bye
inform,world food
confirm,okay and is that british food
request,address
request,phone number
null,im sorry
inform,moderately priced any food
null,noise
inform,dont care
thankyou,thank you good bye
inform,im looking for a restaurant in the north part of town serving kosher food
inform,restaurant west part of town japanese food
affirm,yes
request,what is the type of food
request,can i have the phone number please
repeat,go back
inform,im looking for a restaurant in the center of town that serves romanian food
reqalts,what about korean food
request,uh whats the phone number
inform,looking for romanian food in the center of town
inform,center
request,may i have the address
inform,i want to find a restaurant in any area
inform,i dont care
null,i would like
inform,im looking for an expensive restaurant in the south part of town
request,what is the address
reqalts,how about north american type of food
inform,any
affirm,yes
request,whats the address phone number and area of the venue
inform,the east part
request,may i have the phone number
request,whats the address
inform,greek
request,what type of food is this
thankyou,thank you good bye
inform,west
thankyou,thank you good bye
request,and the post code
bye,goodbye
request,and address
thankyou,thank you good bye
inform,im looking for a restaurant in the north part of town serving jamaican food
request,address
request,type of food
thankyou,thank you good bye
inform,south part of town
request,what is the phone number
thankyou,thank you good bye
request,can i get their address
affirm,yes
request,what is the address
bye,good bye
thankyou,thank you good bye
inform,chinese food
reqalts,how about italian food
request,phone number
reqalts,how about italian
thankyou,thank you good bye
inform,doesnt matter
thankyou,thank you
inform,food from thailand
inform,italian
negate,no
inform,moderately priced in the west
inform,unitelligible food
request,and the post code
inform,international food
thankyou,thank you good bye
inform,east
request,what is the area
inform,i dont care
request,what is the price range
request,may i have the phone number
request,what is the phone number
thankyou,thank you goodbye
null,modern europene
reqalts,is there anything that serves caribbean food
reqalts,is there anything else
inform,caribbean food
thankyou,thank you good bye
thankyou,thank you good bye
request,address
reqalts,what about european food
thankyou,thank you good bye
negate,no no
negate,no new selection
null,unintelligible
inform,chinese food
thankyou,thank you good bye
request,whats the price range
inform,a moderately priced restaurant in the west part of town
request,address
inform,i would like european food
thankyou,thank you
affirm,yes
inform,i dont care
thankyou,thank you good bye
thankyou,thank you good bye
inform,serving modern european food
request,i need the address
inform,vietnamese food
reqalts,is there anything else
thankyou,okay thank you good bye
bye,good bye
request,what is the price range
thankyou,thank you
inform,italian food
request,what is the address phone number and post code
inform,turkish
request,okay and can i get the address
request,whats its address
inform,im looking for something moderately priced
request,what type of food
request,whats the name
thankyou,thank you
inform,portuguese
reqalts,is there anything else
request,what area
request,address
inform,center
inform,dont care
inform,change that to any price range
bye,okay thank you and good bye
inform,european
inform,id like a restaurant in the south part of town that serves cuban
thankyou,thank you
null,uh
request,what area is it in
inform,east
reqalts,anything else
request,what area is it in
request,phone number
inform,what about other parts of town
inform,it doesnt matter
bye,good bye
request,okay may i get the address
inform,vietnamese food
inform,danish
inform,gastropub
request,phone number
inform,turkish food
request,address
inform,dont care
reqalts,anything else
inform,spanish food
null,sil
inform,cheap
inform,italian
affirm,yes
thankyou,thank you good bye
thankyou,thank you goodbye
request,can you give me its post code
inform,spanish food
inform,expensive
inform,spensive
request,whats the phone number
inform,portuguese
request,whats the address phone number and price range
inform,cuban food
inform,spanish food
reqalts,i dont care is there anything else
thankyou,thank you good bye
request,what is the address
inform,doesnt matter
request,can i have the address and phone number
thankyou,thank you good bye
reqalts,how about india
negate,no air tran good
thankyou,thank you good bye
thankyou,thank you goodbye
thankyou,thank you good bye
inform,gastropub
request,can i have the address please
request,phone number
hello,hi im looking for a restaurant in the
request,whats the phone number
negate,no
request,the address
inform,south
thankyou,thank you good bye
inform,signapore
request,whats the address
confirm,is it chinese food though
inform,i dont care
request,post code
reqalts,anything else
inform,christmas food
inform,greek food in the moderate
thankyou,thank you good bye
inform,i dont care
inform,i want to find an expensive restaurant that serves swedish food
request,whats the address
inform,im looking for a restaurant in the center of town that serves african
null,pan
thankyou,thank you good bye
request,the post code
thankyou,thank you good bye
inform,uh north side of town german food
request,telephone
inform,i dont care
inform,can i have an expensive restaurant
request,phone number
inform,indian food
thankyou,thank you good bye
request,post code
inform,im looking for a moderately priced restaurant in the west part of town
request,what is its phone number
request,any price
inform,south
thankyou,thank you good bye
request,what is the phone number
inform,im looking for a restaurant in the east part of town that serves c
request,and whats the post code
null,unintelligible
negate,no eritrean food
inform,the east part
inform,i dont care
inform,north american
reqalts,how about in any area
inform,canapes food
inform,dont care
null,sil
affirm,right
request,uh what its phone number
thankyou,thank you good bye
reqalts,how about italian food
inform,turkish food
inform,any food
inform,moderate
reqalts,how about cantonese food
inform,im looking for a restaurant that serves bistro food
thankyou,can i okay thank you
bye,goodbye
thankyou,thank you good bye
inform,south
request,may i have the phone number and address
inform,cheap gastropub
thankyou,thank you good bye
null,unintelligible
inform,expensive restaurant
null,noise
reqalts,what about indian food
inform,east
null,sil
inform,turkish food
inform,food
null,sil
affirm,yes
request,can i have the phone number
inform,center area
request,phone number please
inform,any
request,what is the phone number
inform,i want to find a cheap restaurant in the south part of town
request,and what type of food
request,address
request,what is the type of food
request,address
request,prices
thankyou,thank you good bye
reqalts,what about korean
inform,i dont care
request,what is the phone number
thankyou,thank you good bye
reqalts,anything else
thankyou,thank you good bye
inform,international food
inform,food
thankyou,thank you good bye
null,unintelligible
request,address
null,okay
inform,could i have the asian oriental restaurant
request,what type of venue
thankyou,thank you good bye
request,what is the address
request,the phone number
confirm,is that a cheap restaurant
inform,world food
confirm,uh is there a modern european food restaurant
reqalts,what are my other options
thankyou,thank you good bye
inform,chinese food
inform,italian food in the west part of town
request,can i get the phone number
inform,cheap restaurant in the east part of town
request,address
request,post code
bye,good bye
thankyou,thank you good bye
request,and what is their phone number
reqalts,what about north american type of food
request,can i have the phone number
bye,good bye
repeat,repeat
reqalts,what about chinese food
reqalts,how about chinese food
affirm,yes
inform,expensive indonesian
inform,any part
inform,im looking for a cheap restaurant in the south part of town
inform,gastropub
request,address and post code
inform,looking for something moderately priced in the north side of town
inform,im looking for an expensive restaurant and it should be east part of town
inform,chinese food
inform,dont care
negate,no goodbye thank you
reqalts,what about british food
inform,dont care
inform,im looking for a moderately priced restaurant in the west part of town
request,what is the address
inform,any
request,can i have the address
inform,earetree mediterranean food
request,uh what type of food
thankyou,thank you good bye
inform,expensive
null,noise
thankyou,thank you good bye
request,phone number
inform,food
thankyou,thank you good bye
request,whats the address
inform,east
affirm,uh yes
reqalts,how about chinese food
request,what is the phone number
inform,in the west part of town
inform,i am looking for italian
inform,italian food
inform,austrian
request,could i have the phone number and post code
request,whats the address and phone number
inform,breath can i get a restaurant serving chinese food
request,what is the address
request,what is the address
thankyou,thank you good bye
inform,cheap
inform,im looking for a restaurant in the east part of town that serves international
bye,bye
thankyou,thank you good bye
null,unintelligible
request,phone number
request,whats the address
inform,west
inform,i dont care
thankyou,thank you good bye
inform,bistro
inform,un unusual food
affirm,uh yes im looking for a restaurant that serves chinese food
inform,moderately priced
request,and the phone number
reqalts,is there anything else
inform,west
thankyou,thank you good bye
request,area
thankyou,thank you good bye
bye,okay thank you and good bye
inform,i dont care
request,phone number
request,post code
reqalts,what about british food
inform,south part of town
inform,the south
inform,indian food in the west part of town
inform,it doesnt matter
request,address
inform,uh east
inform,restaurant in the west part of town
inform,im looking for a restaurant in any area that serves persian food
bye,good bye
request,whats the phone number
inform,seafood
thankyou,thank you good bye
reqalts,what about vietnamese food
request,could i have the address and post code
inform,portuguese
inform,thai food
null,unintelligible
thankyou,thank you good bye
inform,expensive
request,whats the address
inform,id like an expensive restaurant in the south part of town
inform,italian food
bye,good bye
inform,korean food
hello,hello im looking for a moderately priced restaurant in thr
request,phone number again
request,okay and uh how about the phone number
inform,moderately priced
thankyou,thank you good bye
null,noise
reqalts,how about portuguese
affirm,yes
inform,i want an expensive restaurant in the south part of town
request,post code
inform,indian food
thankyou,thank you goodbye
null,dont
affirm,yes
inform,south
inform,doesnt matter
reqalts,how about north american food
thankyou,thank you good bye
inform,in the west part of town
thankyou,thank you good bye
inform,south
request,what is the address and phone number
request,whats the phone number and post code
reqalts,how about italian
inform,restaurant in the west part of town that serves airitran food
null,looking for a
thankyou,thank you goodbye
inform,spanish
request,what is the phone number and address
inform,im looking for something moderately priced
inform,a cheap restaurant
thankyou,thank you good bye
inform,any kind
reqalts,what about european food
reqalts,what about center area
affirm,yes i am in the east part of town right now and i am looking for any place that serves indonesian food
thankyou,thank you good bye
request,address
request,price range
negate,no unintelligible
inform,japanese food
request,whats the address
reqalts,what about gastropub type of foo
negate,no
thankyou,thank you good bye
null,unintelligible
request,whats the address
reqalts,what about in the west area
null,knocking
thankyou,thank you good bye
reqalts,what about thai food
null,im looking
affirm,yes
request,type of food
null,find
inform,european food
request,phone number
reqalts,how about chinese food
request,phone number
request,what is the phone number
inform,steakhouse
reqalts,how about chinese food
request,could i have their phone number as well
request,phone number
thankyou,thank you
thankyou,thank you good bye
affirm,yes
thankyou,thank you good bye
thankyou,thank you good bye
confirm,is there a british restaurant in the west of town
reqalts,how about asian oriental type of food
thankyou,thank you
inform,i want a restaurant serving greek food
request,whats the phone number
reqalts,how about italian food
reqalts,how about modern european food
request,phone number
thankyou,thank you good bye
request,can i have the address
null,sigh
inform,any part of town
inform,moderately priced french food
reqalts,is there anything else
request,whats the phone number
inform,im looking for a moderately priced restaurant with catalan food
thankyou,thank you good bye
inform,expensive
request,post code
null,unintelligible
inform,bistro
inform,uh i want a restaurant that serves international food
inform,north
inform,any
request,what was the phone number for chiquito
inform,i dont care
