text,label
im looking for a restaurant in the north part of town and it should serve,inform
i would like one thats moderately priced,inform
okay and is that british food,confirm
phone number again,request
north part of town serving canapes food,inform
is it in the north part of town,confirm
cheap restaurant spani,inform
north,inform
i would like an expensive restaurant that serves korean food,inform
do you have an expensive restaurant,inform
no moderately priced restaurant,negate
can i have the post code,request
i dont care about the price,inform
im looking for an expensive restaurant serving vegetarian food,inform
expensive restaurant in the south part of town,inform
can i have their address,request
im looking for an italian restaurant in the east part of town,inform
give me another choice,reqalts
a restaurant in any area,inform
west,inform
address and type of food,request
looking for a restaurant in the center that serves vegetarian food,inform
kosher food in the north,inform
looking for cuban food that is moderately priced,inform
can i have the address and phone number,request
any price,request
yes can i have a moderate priced restaurant,affirm
find restaurant in south of town serving international f,inform
what is the uh,null
catalan food expensive,inform
tell me the address,request
whats the address phone number and price range,request
a restaurant in the west part of town,inform
gastropub,inform
i need indian food,inform
im looking for a restaurant in the center that serves corsica,inform
i want a scottish restaurant,inform
cheap jamaican,inform
moderately priced danish food,inform
noise food,inform
breath noise how about french food,reqalts
okay uh thank you and good bye,thankyou
and the post code,request
more,reqmore
im looking for an expensive restaurant and it should be in the south part of town,inform
its in the south,inform
okay expensive,inform
restaurant indian restaurant,inform
east part,inform
tell me number,null
looking for a restaurant that serves spanish food,inform
malaysian food in the south part of town,inform
can i have a mexican restaurant,inform
moderately priced serving european food,inform
um how about european food,reqalts
that should be in the east part of town,inform
could you repeat the name,request
noise hello,hello
i am searching for a restaurant in the center that serves,inform
im looking for a cheap hungarian restaurant,inform
can i find a moderately priced,inform
id like to find a moderately priced restaurant in the west of town,inform
im looking for expensive spanish food,inform
and what is unintelligible telephone number,request
im looking for a restaurant serving chinese food,inform
on the south part of town,inform
and it should be in the north part of town,inform
im looking for a restaurant in the center of town that serves,inform
im looking for a restaurant that serves european food,inform
cuban,inform
now,null
portuguese food in the south part of town,inform
what about a restaurant in the east part of town that serves indian type food,reqalts
im looking for a restaurant with thai type,inform
how bout irish food noise,inform
i want to find a restaurant,inform
yes yea,affirm
kitalian food,inform
id like a restaurant that serves thai food,inform
a moderately priced restaurant that serves vietnamese food,inform
hello welcome to the cambridge system,null
and what kind of food,request
um i would like to find an expensive restaurant in the south part of town,inform
high priced,inform
i want a restaurant that serves basque food,inform
uh the north,inform
could i or um thank you goodbye,thankyou
uh the west part of town,inform
care,null
cheap european food,inform
id like a moderately priced restaurant in west of,inform
id like to find a restaurant that serves portuguese food,inform
are there any other options,reqalts
im looking for a restaurant in the west part of town that serves canapes food,inform
im looking for a restaurant in the south part of town that serves vietnamese food,inform
uh thai food,inform
no the phone number,request
moderately priced restaurant japanese food,inform
im looking for something serves japanese food,inform
how about one that serves asian oriental food,reqalts
im looking for belgian food in the south part of town,inform
um modern european food,inform
um anything,inform
chinese food thats moderately priced,inform
that serves in the moderate food price,inform
popular,null
i want a restaurant that serves welsh food,inform
and the area,request
could i have the phone number and post code,request
what area of town is it in,request
uh im looking for a cheap restaurant in the south part of town,inform
okay ital,null
any food,inform
not korean unintelligible,inform
thai food in the west of town,inform
jamaican,inform
id like a restaurant in the north part of town serving swiss food,inform
what kind of food does it,request
yes it should be in the east part of town,affirm
okay what type of food do they serve,request
id like italian food,inform
are there any other cheap restaurants in the west part of town,reqalts
i would like to find an expensive restaurant serving,inform
expensive restaurants,inform
previews,null
im looking for a restaurant in the center of town that,inform
how about cheap price range,reqalts
i am looking for an expensive restaurant on the east part of town,inform
uh what about italian food,reqalts
uh im looking for a cheap restaurant,inform
yes can i have an expensive restaurant in the east,affirm
um east part of town,inform
i want a restaurant,inform
i am looking for a moderately priced restaurant that serves turkish food,inform
bout,null
no english food,negate
im looking for a moderately priced restaurant in the east part,inform
north part of town serving gastropub food,inform
no the south part,negate
im looking for a restaurant in the south part of town that serves creative food,inform
moderately priced restaurant that serves thai food,inform
and it should be in the south part of town,inform
yes mexican food,affirm
i want a restaurant in the west part of town serving thai food,inform
okay uh what about the other,null
can i have a british restaurant in the east please,inform
what is little seouls phone number,request
can i have the address phone number and area,request
how about in any price range,reqalts
i want a singaporean food restaurant,inform
could i have their phone number and address please,request
can i find a moderately priced restaurant,inform
very good thank you good bye,bye
is there any thing else,reqalts
peking restaurant,inform
canapes,inform
italian food,inform
looking in the west of town moderately priced,inform
im looking for a barbecue restaurant in the east part of town,inform
im looking for a cheap jamaican restaurant,inform
i would like to find a restaurant in the north part of town,inform
what about italian,reqalts
ah i dont care,inform
are there any other restaurants,reqalts
is there on serving chineese,inform
expensive expensive,inform
laugh,null
s the address,request
is it in the east of town,confirm
i need the address phone number and post code,request
okay but im going to nandos thank you good bye,thankyou
i want to find a cheap restaurant that serves,inform
im looking for an expensive restaurant that serves vietnamese food,inform
so i dont care whats the address,inform
is there anything else besides golden wok,reqalts
um any time of european type food,inform
give me the address phone number and price range,request
not european fusion,deny
how about the address,request
okay can i get the address,request
cheap unintelligible food,inform
wrong,deny
im looking for indian food,inform
okay ah how bout portuguese food,inform
how about modern europone,reqalts
free food,inform
uh no im loo ah change it to british,negate
what about indian,reqalts
im looking for a restaurant in the center of town that serves african food,inform
expensive african food,inform
i want a restaurant in the south part of town that serves moroccan food,inform
im looking for modern european food,inform
what is the area,request
um breath,null
can i get a post code,request
european,inform
serving,null
whats the price range again,request
uh what is the,null
find a restaurant serving cuban food,inform
an expensive italian restaurant,inform
restaurant west part of town japanese food,inform
first one,null
okay i want indian,inform
south of the town,inform
part of town that serves chinese food,inform
im looking for an expensive restaurant in the east of town,inform
yes spanish restaurant,affirm
is their korean food,inform
i would like to find a moderately priced restaurant and it should be in the east part of town,inform
im looking for a restaurant in the center that serves turkish food,inform
noise can i have the phone number,request
i am looking for,inform
im looking for a restaurant in any area that serves swedish food,inform
im looking for a romanian restaurant,inform
no north part of town,negate
south side,inform
i want something else,reqalts
are there any restaurants in the center of town,inform
so,null
yea im looking for a restaurant in the moderate price range serving vietnamese food,inform
swiss,inform
looking for a restaurant in the east part of town,inform
im looking for a restaurant in the south part of town with creative food,inform
looking for caribbean food,inform
uh no,negate
i would like an expensive restaurant in the east part of,inform
looking for afghan good,inform
can i get a restaurant in the west part of town,inform
how about north american type of food,reqalts
i am looking for a restaurant in any area and it should serve barbecue food,inform
venetian,inform
how about itailian,reqalts
uh yes id like a restaurant in the west part of town and it should serve christmas food,affirm
uh chinese food,inform
does it serve spanish food,confirm
no im looking for austria asian food,negate
i would like a cheap restaurant in the west part of town,inform
any kind in the north part of town,inform
im looking for a restaurant in the center and it should serve swedish food,inform
any anything else,inform
im looking for vietnamese food in the north part of town,inform
can i find a restaurant,inform
how much does it cost,request
expensive restaurant european food,inform
i want to find a moderately priced restaurant in the east part of town,inform
can i get,null
restaurant south part of town international food,inform
can i can i have the address and price,request
uh what about chinese food,reqalts
west area,inform
singaporean,inform
can i have the corsica,inform
do they serve sea food,confirm
can i have the phone number please,request
im looking for a moderately priced restaurant and it should be in the west part of town,inform
whats their post code,request
can i have the venusian food,inform
okay then any,inform
an expensive restaurant serving thai food,inform
system irish food,inform
im looking for an expensive restaurant in the south part of,inform
south expensive,inform
i want to ind,null
cheap restaurant serving asian oriental,inform
i want a restaurant that serves cantonese food,inform
alright thank you good bye,bye
do you have the post code,request
moderately priced swedish food,inform
no hungarian,negate
uh could you repeat that,repeat
whats their address and phone number,request
anything house,reqalts
the phone,request
im looking for a moderately priced restaurant that serves christmas food,inform
whats the phone number talking,request
part of town,request
i dont,null
i am looking for a restaurant in the south part of town and it should serve cantonese food,inform
no lebanese food,negate
does it serve asian oriental,confirm
i would like to find a restaurant that serves halal food,inform
i need a restaurant in the east part of town serving indian food,inform
any japanese restaurants,inform
restaurant south part of town christmas food,inform
no romanian,negate
whats the address phone number and price,request
yes creative food,affirm
do you have modern european food,inform
christmas,inform
im looking for a moderately priced restaurant that serves uh,inform
im looking for an expensive restaurant in the east town,inform
is there a different cheap restaurant in the west part of town,reqalts
uh cheap restaurant serving scandinavian food,inform
a cheap restaurant,inform
im looking for an expensive restaurant in the south part of tow,inform
is there an indian restaurant in the south of town,inform
id like a moderately priced restaurant that serves thai food,inform
east part of town,inform
does it serve modern european food,confirm
something else,reqalts
cheap restaurant serving mediterranean food,inform
could i have a cheap restaurant,inform
i dont care in the north part of town,inform
what is it by,null
im looking for an expensive restaurant serving malaysian food,inform
im looking for a italian restaurant in east part of town,inform
eartrain,inform
next restaurant,inform
what about in any area,reqalts
i need a caribbean restaurant in the south part of town,inform
whats the phone whats the phone number,request
i need a moderately priced restaurant that serves caribbean food,inform
i need an expensive restaurant in the south part of town,inform
i want another restaurant that serves spanish food,reqalts
uh any,inform
is it serving portuguese food,confirm
i want to find a restaurant in the center and it should serve vietnamese food,inform
hi id like a moderately priced restaurant in the north,inform
make a suggestion,null
type of food they serve,request
pan asian,inform
ring,null
im looking for moderately priced restaurant in the north part of town,inform
can i have the phone number and post code,request
no i want thai food,negate
korean food,inform
im looking for a restaurant in any area that serves tuscan food,inform
i dont care noise,inform
i would like crossover food,inform
im looking for kosher food in the west side,inform
im looking for vegetarian food on the east part of town,inform
hi im looking for an restaurant in the center that serves korean food,hello
im looking for a moderately priced restaurant,inform
what about chinese,reqalts
north part of town moderately priced,inform
if there is no such venue how about thai type of food,inform
i need a moderate priced restaurant in the north part of town,inform
im looking for a restaurant that serves italian,inform
okay um chinese then,inform
greek,inform
moderately priced south of town,inform
okay whats the price range,request
i need chinese food,inform
restaurant in the south part of town caribbean food,inform
may i know more about the area,request
no im looking for pan asian food,negate
and can i have the post code please,request
spice,null
unintelligible thank you goodbye,thankyou
cool um thank you good bye,bye
noise ease part of town east,inform
yes right,affirm
im looking for a place that serves mexican food,inform
can i have irish food,inform
cheap restaurant serving malaysian food,inform
is it the east part of town,confirm
okay thank you,thankyou
whats the code,null
what about the phone number,request
different kind of food,request
okay what kind of food,request
a restaurant in,inform
im looking for a restaurant in the south of town serving chinese food,inform
does it serve korean food,confirm
is there any that serve european food,inform
serving catalan food,inform
looking for romanian food in the east part of town,inform
how about a cheap asian oriental restaurant,reqalts
yes can i have,affirm
may i have the phone number and address,request
i would like a restaurant that serves korean food,inform
what are the price ranges,request
barbecue food west part of town,inform
does it serve canapes,confirm
moderately priced french food,inform
yes a restaurant in the east of town unintelligible serving canap,affirm
im looking for a restaurant in any area that serves persian food,inform
what about british,reqalts
breath a cheap restaurant in the north part of town,inform
im looking for a restaurant in any area it should serve gastropub food,inform
indian food in the south,inform
uh any type,inform
im looking for a restaurant in the center of town serving german food,inform
im looking for a restaurant in the north part,inform
the address,request
in the east part of,inform
i need moderately priced restaurant that serves spanish,inform
okay can i have the rest of the address for da vinci,request
austria asian food,inform
im looking for an expensive restaurant that serves irish food,inform
i am looking,inform
im looking for a restaurant that serves expensive food or expensive,inform
could i have the phone number,request
what the addre,request
music im looking for a moderately priced restaurant in the south part of town please,inform
what kind of food do they serve,request
address phone number post code,request
uh yeah can i find a restaurant in the south part of town serving turkish food,affirm
what about unintelligible food restaurants,null
i want gastropub food,inform
what about mediterranean,reqalts
im looking for a restaurant in the center part of town,inform
im looking for a moderately price restaurant that serves halo food,inform
i want i want indian food,inform
im looking for a restaurant in the north part of town and it should african food,inform
find me a restaurant in the north part of town,inform
that serves spanish food,inform
can i have the phone number and post code plea,request
what kind of food do they have there,request
i want to find chinese food,inform
what is there in the north,inform
restaurant in the east part of town japanese,inform
uh could you give me the address and telephone number,request
im looking for a restaurant in the north part of town serving jamaican food,inform
and the phone number and address,request
the addre,null
um no,negate
i would like a restaurant in the west part of town that serves russian food,inform
i want to find a moderately priced restaurant serving spanish food,inform
im looking for a restaurant in the east part of town that serves international,inform
phone,request
looking for a place that serves whole worl,null
it should be in the north part of town,inform
i want to find a moderately priced restaurant,inform
sounds good whats the address,request
id like a european food,inform
im loo,null
restaurant in any area thats,inform
how bout chinese food,inform
suggestion,null
what kind of food do they serve there,request
how about a korean restaurant,reqalts
i want an expensive restaurant that serves sea food,inform
yes indian food,affirm
im looking for an expensive restaurant serving british food,inform
restaurant in the south part of town serving turkish food,inform
whats its post code,request
looking for lebanese food in the city center,inform
tuscan food,inform
im looking for an expensive restaurant and it should serve fus,inform
new garden do you have any other,reqalts
tailand,inform
any area,inform
and what type of whats the phone number,request
north part of town please,inform
what is the phone,request
i would like gastropub food in the east part of town please,inform
im looking for a restaurant in the center that serves romanian food,inform
do you got an address,request
looking for a restaurant noise in the east part of town,inform
i want an expensive restaurant serving european food,inform
im looking for a cheap restaurant that serves canapes food,inform
unintelligible range,null
whats the promo code,null
british food,inform
im looking for a restaurant in the south part of town that serves jamaican food,inform
in what part of town,request
um could i have the address,request
any address,inform
does it serve baskaye food,confirm
town,null
may i have their address please,request
i want to find a restaurant that serves world food,inform
isian food,inform
can i okay thank you,thankyou
oh whats the address,request
hello im looking for a cheap,hello
you tell me,null
um portuguese,inform
in the ea,null
i need a cheap restaurant serving eritrean food,inform
the pizza hutt unintelligent,inform
how about a castro pub,reqalts
looking for a restaurant that serves lebanese food,inform
what about indian food in the cheap price range,reqalts
no id like cheap restaurant in the west part of town,negate
im sorry i meant creative food,inform
im looking for vietnamese food,inform
okay can you give me the address there,request
id like a restaurant in any area that it serves canapes,inform
um i want,null
im looking for a restaurant in any area serving unintelligible,inform
can i get an expensive,inform
an expensive restaurant in the south part of town,inform
another restaurant,reqalts
id like a portuguese restaurant,inform
i need a restaurant in the moderate price range,inform
i would like an africa restaurant in the center,inform
wait noise,null
im looking for a restaurant serving vegetarian food,inform
im looking for a restaurant in the south part of town that serves malaysian food,inform
air tran,inform
australasian,inform
i need a moderately priced restaurant in the south,inform
african food please,inform
anything else gastropub,reqalts
im looking for a moderately priced restaurant and it should be in the east part of town,inform
im looking for a moderately priced restaurant that serves endonesian,inform
could i have the phone number and post code please,request
could i have the address please,request
korean food price range,inform
give me another one,reqalts
australia asian food,inform
and a phone number,request
a cheap restaurant in the south part of town,inform
okay thats all,bye
i want to find indian food then,inform
what is the post code,request
uh international food,inform
can i have moderately priced restaurnt in the south part of town,inform
noise hungarian,inform
chinese food in the east part of town,inform
can i have the address of the phone number of the venue,request
expensive restaurant asian food,inform
looking for moderately priced russian food,inform
im looking for an expensive restauran,inform
what about a moderately priced re,inform
breath id like a cheap restaurant in the south part of town,inform
the south part of town greek food,inform
im looking for a restaurant in the north part of town uh tuscan food,inform
is there a moderately priced restaurant that serves british food,confirm
what is um the address and phone number,request
moderately priced catalan food,inform
find me an expensive persian restaurant,inform
lets see im looking for a restaurant in the north part of town that serves vietnamese food,inform
address and post code,request
what about us,null
noise malaysian noise,inform
does it serve international food,confirm
any fine,inform
noise i am looking for a restaurant,inform
do you have another option anything else,reqalts
for a restaurant,inform
i need to know if there are any restaurants serving turkish food,inform
im looking for a thai food restaurant and i dont care the price,inform
oh,null
scottish,inform
no im looking in the south of the town,negate
water cherries thank you good bye,thankyou
uh thank you and good bye,bye
ah whats the address,request
i need a restaurant in the west part of town that serves crossover food,inform
hindi food is okay,inform
i would like modern european food,inform
how about indian type food,reqalts
could i have the address phone number and price range please,request
i dont want chinese i want thai food,deny
im looking for a european restaurant in center area,inform
may i have its phone number,request
can i have the phone number and type of food please,request
looking for a moderately priced restaurant that serves cancun,inform
find restaurant in north part of town serving asian,inform
that serves corsica,inform
i want to find an expensive restaurant that serves swedish food,inform
yea im looking for an expensive restaurant that serves portuguese,inform
id like to find a restaurant in the north part of town that serves german food,inform
okay how bout thai food,reqalts
oriental food,inform
phone number to that,request
restaurant in the south part of town,inform
i want a cheap hungarian food restaurant,inform
im looking for canapes food in any price range,inform
can i have a seafood restaurant please,inform
no im looking for turkish,negate
does it serve endonesian,confirm
can i have the phone number,request
does not matter,inform
can i have the address and price range,request
restaurant with african food,inform
where is it located,request
okay how about a venue with italian food,reqalts
i want to find a cheap restaurant that serve,inform
a restaurant serving french food,inform
something in the north part of town serving chinese food,inform
cheap resataurant serving unintelligible food,inform
i would like an expensive asian food restaurant,inform
im looking for polynesian food,inform
i would like a,null
i want a polynesian restaurant in the north part of town,inform
ah a phone number,request
im looking for a restaurant in any area serving turkish food,inform
thai type of food,inform
mediterranean food,inform
do you have prezzo,inform
and their post code,request
no i dont want chinese i want thai food,deny
im looking for an expensive restaurant that serves swiss food,inform
whats the address noise,request
can i get a restaurant,inform
the north part of tow,inform
cheap,inform
are there any serves asian oriental,inform
uh no oh,negate
how about vietnamese type of food,reqalts
noise any area,inform
i want an expensive steak house,inform
in what area,request
im looking for a restaurant in the west part,inform
im looking for a restaurant in central it should serve japanese food,inform
looking for a restaurant in the south part of town,inform
downtown,inform
i would like european food,inform
id like a greek restaurant in the east part of town,inform
im looking for a restaurant in the north part of town that serves french food,inform
what is there address,request
thats everything thank you,thankyou
i would like to find an expensive restaurant that serves corsica food,inform
im looking for a restaurant in the north part town and it should serve australian food,inform
need a cheap restaurant,inform
how about one serving unintelligible food,reqalts
i want to find moderately priced restaurant it should be,inform
is there a restaurant serving thai food,reqalts
restaurant moderate price,inform
are they the east side of town,inform
how about lebanese food,reqalts
is there a restaurant that serves indian food,reqalts
yea im looking for a really cheap restaurant,inform
no south,negate
i want a turkish restaurant,inform
spanish food anywhere any area,inform
no cuban food cuban food,negate
okay and can i get the address,request
whats the address phone number and area,request
what about european food,reqalts
expensive restaurant serve korean food,inform
im looking for an expensive restaurant in the south,inform
my i have the phone number,request
im looking for a moderately priced restaurant serving spanish food,inform
yes hi im looking for a restaurant in the north,affirm
in any area,inform
any range,inform
thank you noise,thankyou
find me a turkish restaurant,inform
are there any other expensive restaurants in the east part of town,reqalts
i would like a cheap restaurant and it should,inform
im looking for an expensive restaurant in south part of town,inform
what area,request
can i have the address and postal code,request
portuguese food noise,inform
may i have the price range,request
uh is there anything else,reqalts
place that serves portuguese food,inform
um want to find a moderately priced restaurant in the,inform
oh so what is the phone number,request
what about other parts of town,inform
may i get the address and phone please,request
danish food,inform
im looking for a restaurant in the north part of town that serves euro,inform
can i have a moderately priced restaurant in the west part of town,inform
im looking for an expensive restaurant that serves unintelligible food,inform
um i need a cheap restaurant,inform
moderately priced west part of town,inform
i want an expensive afghan restaurant,inform
can i have an asian oriental restaurant in the,inform
id like a moderately priced restaurant,inform
i want to find a restaurant in the center that should serve belgian food,inform
iam looking for a restaurant in any area that serves swiss food,inform
okay can i get the phone number,request
what about turkish food,reqalts
bad,null
adddress,request
that serves traditional food,inform
im looking for a restaurant,inform
moderate west,inform
im looking for a restaurant in the west part of town that serves corsica food,inform
what about indian type of food,reqalts
asian oriental food,inform
uh are there any that serves mediterranean,inform
see you goodbye,bye
im looking for a restaurant in the south part of town serving chinese food,inform
something cheap,inform
no asian oriental,negate
what is the phone number and address,request
what is the address and type of food they serve,request
okay can i have european food,inform
could i have a cheap restaurant in the east part of town,inform
moderate restaurant,inform
what unintelligible the price range,request
and what is the area,request
the west,inform
no im looking for a unintelligible swiss food,negate
okay uh,ack
can i have the address and the phone number,request
centre,inform
i am looking for an expensive restaurant serving kitalian food,inform
uh id like steakhouse food,inform
does it what kind of food does it serve,request
moderately priced restaurant in the south part of town,inform
serving barbecue food,inform
looking for a moderately priced restaurant in the west part of town,inform
could i have the address phone number and postcode,request
how about moroccan food,reqalts
uh a restaurant in the south part of town,inform
cheap list,inform
breath how bout north part of town,inform
i want to find a moderately priced restaurant that serves canapes food,inform
im looking for a moderately priced restaurant and it should serve polynesian food,inform
im looking for a expensive restaurant serving mediterranean food,inform
turkish type food,inform
im looking for european food,inform
can i have the phone number and address,request
unintelligible east,inform
im looking for an expensive restaurant in the,inform
any more,reqalts
oh anything,inform
no australian food,negate
i want a restaurant in the west part of town that serves australian food,inform
ok i want to find a restaurant in the south part of town,inform
okay how about any area,reqalts
i dont care,inform
can i get swedish food,inform
uh it doesnt matter,inform
thank you and good,thankyou
im looking for a restaurant in the south part of town that serves indian,inform
restaurant in north part of town,inform
im looking for a restaurant in the center that serves international,inform
im looking for a restaurant in the north part of town serving indonesian,inform
ah yes,affirm
im looking for a restaurant in the east part of town that serves,inform
how about portuguese,reqalts
i want a restaurant serving persian food,inform
the expensive,inform
can i try another one,reqalts
could i have its address,request
yes good afternoon im looking for a restaurant in the north,affirm
okay and uh can i get the address,request
expensive price range,request
tape,null
spanish food west part of town,inform
im looking for a cheap restaurant on the north side of town,inform
what part of town is chiquito mexican restaurant in,request
european european,inform
how about cheap portuguese food,reqalts
how about chinese food,reqalts
restaurant east,inform
that serves romanian food,inform
what about in the west side of town,reqalts
how about a chinese restaurant,reqalts
where is it,request
what is the phone numbere,request
any price range,inform
i want english food in the center of town,inform
im looking for a restaurant in the south part of town and it should serve canapes food,inform
no i want halal food,negate
no a cheap restaurant,negate
a cuban restaurant cuban restaurant,inform
okay is it moderately priced,confirm
ah where is it,request
ringing i need a moderately priced restaurant,inform
italian food in the center,inform
uh whats the address and phone number,request
uh yes im looking for a cheap restaurant that serves medetanian food,affirm
ah yes can i get ah expensive restaurant in the south part of town,affirm
i would like to find a restaurant in the center and it should serve korean food,inform
can i get the post code please,request
french food any part of town,inform
cheap restaurant in he north part of town,inform
is it what what price range,request
croatia,null
serving portuguese food,inform
noise looking for an expensive restaurant in the south part of town,inform
south,inform
no id like,negate
noise im looking for moderately priced in the north part of cleveland ohio,inform
is that in the center,confirm
i would like to find a moderately priced restaurant and it should be in the east,inform
for a cheap restaurant in the south part of town,inform
find restaurant in north part of town serving fusion food,inform
swedish food expensive,inform
uh yes restaurant that serves danish food,affirm
how about persian food,reqalts
what about international type food,inform
im looking for a chinese restaurant,inform
how about restaurants in the north part of town,inform
is there any serving vietnamese,inform
is there a restaurant that serves modern european,reqalts
is the anything else,reqalts
im looking for a restaurant in any area and it should serve pan asian food,inform
address phone number and postcode,request
halo food,inform
hi im looking for mexican food,hello
is there anything else,reqalts
restaurant serving spanish food,inform
id like a hungarian food restaurant in the centre part of town,inform
a indian restaurant,inform
i cant answer in spanish,inform
how about modern european food,reqalts
looking for corsica food in an expensive restaurant,inform
can i change the price range,request
british expensive,inform
uh,null
cheap restaurant that serves turkish food,inform
what about asian oriental foo,reqalts
i hate golden wok is there anything else,reqalts
okay may i have the address,request
can i get the next one,reqalts
moderate,inform
moderately priced priced restaurant chinese food,inform
im looking for um,inform
id like to find a restaurant in the north part of town and it should serve greek food,inform
may i have its number,request
uh how about moderately priced,reqalts
what about indian then,reqalts
turkish,inform
the phone number for bloomsbury,request
uh moderate,inform
phone number,request
can i get the address and phone number and post code,request
expensive restaurant in the south of town,inform
west part of town,inform
i would like a moderately priced restaurant,inform
okay the address,request
um im looking for something in the west thats moderately priced,inform
what is nandos address,request
fen ditton,null
corsica food,inform
wait no i wanted portuguese food,negate
can i get the address phone number and price of food,request
no in any area,negate
no im looking,negate
phone number and area,request
does it serve baskey food,confirm
talian food,inform
whats the signature dish,request
a restaurant in the south part of town that serves italian food,inform
kay um,ack
what type of food is served,request
no no,negate
im looking for a moderately priced restaurant in the north part of town,inform
i want a cheap restaurant in the south part of town,inform
looking for a restaurant in west part of town serving cantonese,inform
i want a moderately priced restaurant that serves,inform
moderately priced restaurant south part of town,inform
i want an italian restaurant in the center,inform
any noise,inform
okay could you give me the phone number,request
can i get post code,request
were else food,inform
how bout thai,inform
restaurant,inform
i want an indian food restaurant moderate priced,inform
im looking for a moderately priced restaurant serving basque food,inform
im looking for a restaurant that serves indian food,inform
i want to find a cheap re,inform
breath thank you goodbye,thankyou
breath may i have the phone number and address please,request
and phone nubmer,request
earetree mediterranean food,inform
i want a gastropub restaurant,inform
and the phone number,request
system european food,inform
breath what is the phone number and post code,request
was that in the east part of town west part of town,inform
any part of town,inform
yes korean food,affirm
cheap restaurant on the east part of town,inform
i need a moderately priced restaurant that serves world food,inform
i want indonesian food,inform
moder,null
ok thank you goodbye,bye
kay thank you good bye,bye
id like to find a spanish restaurant in the center,inform
i want a restaurant in the north part of town that serves vietnamese food,inform
south part of town,inform
how about north american food,reqalts
is it hungarian food,confirm
im sorry but what about chinese food,reqalts
im looking for an expensive restaurant serving kitalian food,inform
im looking for a moderately priced restaurant that serves polish food,inform
moderately priced moderately priced,inform
expensive food,inform
cheap australian,inform
what about a spanish restuarant,inform
are there any that serves portuguese food,inform
im looking for a cheap restaurant that sells welsh,inform
im looking for halal food,inform
um north american food,inform
serving mexican food,inform
cheap in the east part of town,inform
i want an expensive restaurant in the south part of town,inform
is there a modern european,confirm
hungarian food in the west part of town,inform
uh whats the address and the phone number,request
okay uh thank you and goodbye,thankyou
yes,affirm
