text,label
are there any others,reqalts
are there any restaurant serving corsica food,reqalts
are there any restaurants in the center of town,inform
are there any restaurants in the south part of town that are expensive,reqalts
are there any restaurants serving indian food,reqalts
are there any restaurants serving turkish food,reqalts
are there any restaurants that serve english food,reqalts
are there any serves asian oriental,inform
are there any serving european food,inform
are there any that serve vietnamese food,inform
are there any that serves mediterranean type food,inform
are there any that serves portuguese food,inform
are there any turkish restaurants,inform
are there any turkish restaurants at all,inform
are there mediterranean restaurants in the center of town,inform
are they expensive,inform
are they the east side of town,inform
area,request
area of the food of the venue,request
area of the venue,request
area of venue,request
area train,request
aristrain,null
aristrain food,inform
arotrian,inform
arts town,null
asian,inform
asian food,inform
asian food in the north part of town,inform
asian ori,inform
asian oriental,inform
asian oriental food,inform
asian oriental food in the centre,inform
asian oriental food in the north part of town,inform
asian oriental type food,inform
asian oriental type of food,inform
asian restaurant,inform
austallison,inform
austral asian,inform
australasian,inform
australasian food,inform
australia asian food,inform
australian,inform
australian food,inform
australian food center part of town,inform
austria asian food,inform
austria asian restaurant in the center of town,inform
austrian,inform
austrian food,inform
austrian food in the west part of town,inform
austro food,inform
aw give me the damn code,null
awesome thank you good bye,thankyou
awesome thanks good bye,bye
awesome um whats the number,request
back,repeat
background_speech,null
bad,null
barbecue,inform
barbecue food,inform
barbecue food west part of town,inform
bask food,inform
basque,inform
basque food,inform
basque food in the east part of town,inform
belgian,inform
belgian food,inform
belgium,inform
belgium food,inform
bistro,inform
bistro food,inform
blow,null
both,null
bout,null
brazilian,inform
brazilian food,inform
brazillian,inform
breath <noise> how about french food,reqalts
breath a cheap restaurant in the north part of town,inform
breath can i get a restaurant serving chinese food,inform
breath can you find me danish restaurant,inform
breath correct,affirm
breath curry prince address,request
breath do you have danish restaurants,inform
breath european,inform
breath expensive,inform
breath hi im looking for a danish food,hello
breath how about portuguese food,reqalts
breath how bout north part of town,inform
breath i am looking for a restaurant in any area that serves gastropub type of food,inform
breath i am looking for a venue that serves gastropub food,inform
breath i dont care,inform
breath i dont care <noise>,inform
breath i want a cheap restaura,inform
breath i want to find a restaurant in the north part of town,inform
breath i want to find an expensive restaurant and it sh,inform
breath i would like port portuguese food,inform
breath id like a cheap restaurant in the north part of town,inform
breath id like a cheap restaurant in the south part of town,inform
breath id like a moderately priced restaurant that serves thai food,inform
breath id like to find a moderately priced restaurant in the west part of,inform
breath im looking for a cheap restaurant serving catalan food,inform
breath im looking for a moderately priced restaurant in the east p,inform
breath im looking for a restaurant in the east part of tow,inform
breath im looking for a restaurant in the south part of town that serves malaysian food,inform
breath im looking for a restaurant that serves cuban food,inform
breath is there anything else,reqalts
breath malaysian food,inform
breath may i have the phone number and address please,request
breath may i have the phone number please,request
breath no american food,negate
breath no malaysian food,negate
breath no unusual food,negate
breath okay how about thai food,ack
breath okay uh thats great how bout the address,request
breath price range,request
breath thank you goodbye,thankyou
breath thank you very much goodbye,thankyou
breath unusual food,inform
breath what is the phone number and post code,request
breath what type of food is it,request
breath whats the phone number of the venue,request
breath yes id like a moderately priced restaurant that serves thai food,affirm
breathing,null
british,inform
british expensive,inform
british feed,inform
british food,inform
british food in north part of town,inform
british food in the west part of town,inform
british food north part of town,inform
british type,inform
bye,bye
c h e a p cheap,inform
cambridge vietnamese food,inform
can,null
can i,null
can i can i have the address and price,request
can i can i have the address the phone number,request
can i change the price range,request
can i find a expensive restaurant that serves welsh food,inform
can i find a moderately priced,inform
can i find a moderately priced restaurant,inform
can i find a restaurant,inform
can i find a restaurant in the south that is moderately priced,inform
can i find a restaurant that serves international food,inform
can i find a restaurant with gastropub food,inform
can i find an expensive restaurant that serves traditional food,inform
can i find an expensive russian food restaurant,inform
can i find an indian,inform
can i find something in the south side,inform
can i find something in the west part of town,inform
can i get,null
can i get a,null
can i get a address,request
can i get a cheap restaurant in the south part of town,inform
can i get a moderate restaurant in the south part of town,inform
can i get a moderately priced restaurant in the north,inform
can i get a phone number,request
can i get a phone number please,request
can i get a post code,request
can i get a restaurant,inform
can i get a restaurant in the center,inform
can i get a restaurant in the east part of town that serves italian food,inform
can i get a restaurant in the south part of town that serves cuban food,inform
can i get a restaurant in the west part of town,inform
can i get a restaurant with vegetarian food,inform
can i get a steak house restaurant in any area,inform
can i get address,request
can i get address phone number,request
can i get american food,inform
can i get an address and phone number,request
can i get an address phone number and post code,request
can i get an expensive,inform
can i get post code,request
can i get swedish food,inform
can i get the,null
can i get the address,request
can i get the address <noise>,request
can i get the address and area of the venue,request
can i get the address and phone number,request
can i get the address and phone number and post code,request
can i get the address and phone number please,request
can i get the address and post code,request
can i get the address and price range,request
can i get the address and type of food,request
can i get the address and zip code,request
can i get the address phone number,request
can i get the address phone number and area,request
can i get the address phone number and post code,request
can i get the address phone number and post code please,request
can i get the address phone number and price of food,request
can i get the address phone number and price range,request
can i get the area,request
can i get the next one,reqalts
can i get the number,request
can i get the phone number,request
can i get the phone number and address,request
can i get the phone number and area,request
can i get the phone number and price range,request
can i get the post code,request
can i get the post code please,request
can i get the price range,request
can i get their address,request
can i get their address and phone number,request
can i get their phone number,request
can i get their phone number please,request
can i get their post code,request
can i get turkish food,inform
can i get tuscan,inform
can i get tuscan foo,inform
can i have a british restaurant,inform
can i have a british restaurant in the east please,inform
can i have a caribbean food,inform
can i have a cheap restaurant,inform
can i have a cheap restaurant in the south part of town,inform
can i have a cheap restaurant in the west part of town,inform
can i have a different restaurant that serves portuguese food,inform
can i have a lebanese restaurant,inform
can i have a mexican restaurant,inform
can i have a moderately priced restaurant,inform
can i have a moderately priced restaurant in the south part of town,inform
can i have a moderately priced restaurant in the west part of town,inform
can i have a moderately priced restaurant on this side of town,inform
can i have a restaurant in the center,inform
can i have a restaurant in the center with spanish food,inform
can i have a restaurant in the east part of town,inform
can i have a restaurant in the north,inform
can i have a restaurant in the south part of town,inform
can i have a seafood restaurant please,inform
can i have a thai restaurant,inform
can i have an,null
can i have an address,request
can i have an address and phone number,request
can i have an asian oriental restaurant in the,inform
can i have an expensive restaurant,inform
can i have another option,reqalts
can i have asian food,inform
can i have european food,inform
can i have french food in the center,inform
can i have greek food,inform
can i have his phone number,request
can i have irish food,inform
can i have it in any price range,inform
can i have its phone number,request
can i have its post code,request
can i have mediterranean food,inform
can i have moderately priced restaurant,inform
can i have moderately priced restaurant in the west part of town,inform
can i have moderately priced restaurnt in the south part of town,inform
can i have post code,request
can i have something else,reqalts
can i have spanish food in,inform
can i have the <noise>,null
can i have the address,request
can i have the address and phone,request
can i have the address and phone number,request
can i have the address and phone number of the venue,request
can i have the address and phone number please,request
can i have the address and post code,request
can i have the address and postal code,request
can i have the address and price range,request
can i have the address and the,request
can i have the address and the phone number,request
can i have the address and the phone number of the venue,request
can i have the address and the post code,request
can i have the address and the post code please,request
can i have the address and the postcode,request
can i have the address and the price range,request
can i have the address of it,request
can i have the address of that,request
can i have the address of the last one,request
can i have the address of the phone number of the venue,request
can i have the address of the venue,request
can i have the address phone number,request
can i have the address phone number and,request
can i have the address phone number and area,request
can i have the address phone number and post code,request
can i have the address phone number and postal code,request
can i have the address phone number and price range,request
can i have the address phone number and the type of food,request
can i have the address please,request
can i have the address the phone number,request
can i have the area of the restaurant,request
can i have the area of the venue,request
can i have the corsica,inform
can i have the european food,inform
can i have the phone,request
can i have the phone nu,request
can i have the phone number,request
can i have the phone number address and price range,request
can i have the phone number and address,request
can i have the phone number and address of the venue,request
can i have the phone number and post code,request
can i have the phone number and post code of the venue,request
can i have the phone number and post code plea,request
can i have the phone number and post code please,request
can i have the phone number and price range,request
can i have the phone number and the address please,request
can i have the phone number and the area,request
can i have the phone number and the price range,request
can i have the phone number and the type of food,request
can i have the phone number and type of food please,request
can i have the phone number and type of food that,request
can i have the phone number of the venue,request
can i have the phone number please,request
can i have the post code,request
can i have the post code please,request
can i have the price range,request
can i have the price range of the venue,request
can i have the type of food,request
can i have the venusian food,inform
can i have their address,request
can i have their address and phone number,request
can i have their address and phone number please,request
can i have their address please,request
can i have their phone number,request
can i have their phone number please,request
can i okay thank you,thankyou
can i please have the phone number,request
can i please have their phone number,request
can i try another one,reqalts
can we start over,restart
can you,null
can you change romanian food to something else,deny
can you do anything else beside repeat yourself,inform
can you find a moderately priced restaurant,inform
can you find a modern european restaurant,inform
can you find me a place that has thai food,inform
can you give me a restaurant in east part of town and,reqalts
can you give me its post code,request
can you give me the address,request
can you give me the address and phone number,request
can you give me the address and price range,request
can you give me the address please,request
can you give me the phone number,request
can you hear me,null
can you repeat that,repeat
can you repeat the address please,request
can you repeat the phone number and address please,request
can you tell me a restaurant in the south part of town,reqalts
can you tell me about an expensive restaurant in the south,inform
canape,inform
canapes,inform
canapes food,inform
cannabis,null
canope food,inform
canopus,inform
canopy,inform
cant,null
cant repeat,repeat
cantonese,inform
cantonese food,inform
cantonese food north,inform
care,null
caribbean,inform
caribbean foo,inform
caribbean food,inform
carrier,null
catalan,inform
catalan food,inform
catalan food expensive,inform
catalan food north part of town,inform
catalanian,inform
catalen food,inform
catalonia food,inform
catalonia in the east part of town,inform
center,inform
center area,inform
center of town,inform
center part of town,inform
center town,inform
central,inform
central inaudible,inform
centre,inform
change that to a chinese restaurant,inform
change that to any price range,inform
change that to chinese food,inform
change that to mediterranean food,inform
cheap,inform
cheap australian,inform
cheap cheap restaurant,inform
cheap european food,inform
cheap food,inform
cheap food in the east part of town,inform
cheap gastropub,inform
cheap in the east part of town,inform
cheap in the west part of town,inform
cheap indian food,inform
cheap italian,inform
cheap italian food,inform
cheap jamaican,inform
cheap list,inform
cheap mexican food,inform
cheap portugeuse,inform
cheap portuguese food,inform
cheap price range,inform
cheap resataurant serving unintelligible food,inform
cheap restaurant,inform
cheap restaurant barbecue food,inform
cheap restaurant east of town,inform
cheap restaurant east part of town,inform
cheap restaurant gastropub,inform
cheap restaurant gastropub food,inform
cheap restaurant in he north part of town,inform
cheap restaurant in th east part of town,inform
cheap restaurant in the east of town,inform
cheap restaurant in the east part of town,inform
cheap restaurant in the north,inform
cheap restaurant in the north of town,inform
cheap restaurant in the north part of town,inform
cheap restaurant in the south part of town,inform
cheap restaurant in the west part of town,inform
cheap restaurant in west part of town,inform
cheap restaurant mediterranean food,inform
cheap restaurant north part of town,inform
cheap restaurant on the east part of town,inform
cheap restaurant portuguese,inform
cheap restaurant serves spanish food,inform
cheap restaurant serving asian oriental,inform
cheap restaurant serving chinese food,inform
cheap restaurant serving indian food,inform
cheap restaurant serving malaysian food,inform
cheap restaurant serving mediterranean food,inform
cheap restaurant serving scandinavian food,inform
cheap restaurant serving unintellgible food,inform
cheap restaurant south part of town,inform
cheap restaurant spani,inform
cheap restaurant that serves,inform
cheap restaurant that serves german food,inform
cheap restaurant that serves turkish food,inform
cheap restaurant that serves vegetarian food,inform
cheap restaurant uh italian food,inform
cheap restaurant welsh food,inform
cheap restaurant west part of town,inform
cheap restaurants,inform
cheap spanish restaurant,inform
cheap unintelligible food,inform
chikkis,null
child,null
chineese,inform
chinese,inform
chinese chinese,inform
chinese foo,inform
chinese food,inform
chinese food east part of town,inform
chinese food im looking for sea food,inform
chinese food in the east part of town,inform
chinese food in the north part of town,inform
chinese food north part of town,inform
chinese food please,inform
chinese food thats moderately priced,inform
chinese in the south part of town,inform
chinese oriental,inform
chinese restaurant,inform
chinese restaurant in the south part of town,inform
chinese restaurant please,inform
chinese type of food,inform
chinses,inform
chiquito,inform
christmas,inform
christmas food,inform
christmas food west of town,inform
city center,inform
city centre,inform
class over,inform
code,null
cool give me that phone number,request
cool um thank you good bye,bye
cool whats the address,request
cool whats the phone number,request
correct,affirm
corsica,inform
corsica food,inform
cough,null
cough im looking for expensive danish food,inform
could have its phone number,request
could have the phone number,request
could i find an expensive restaurant that serves european food please,inform
could i get the address,request
could i get the address and post code please,request
could i get the address please,request
could i get the phone number and,request
could i get the phone number and post code,request
could i get the phone number and price range,request
could i get the phone number please,request
could i get the post code,request
could i get their address and phone number,request
could i get their phone number,request
could i get their phone number please,request
could i have a cheap restaurant,inform
could i have a cheap restaurant in the east part of town,inform
could i have a moderately priced restaurant in the east part of town,inform
could i have a moderately priced restaurant in the south part of town,inform
could i have a moderately priced restaurant that serves thai food please,inform
could i have a restaurant in the center,inform
could i have a restaurant in the south part of town that serves unusual,inform
could i have a restaurant that serves asian oriental food,inform
could i have a restaurant that serves european food,inform
could i have a restaurant that serves thai food,inform
could i have a restaurant that serves turkish food,inform
could i have another one,reqalts
could i have brazilian food,inform
could i have its address,request
could i have its number,request
could i have its phone number,request
could i have the address,request
could i have the address and phone number,request
could i have the address and phone number of the venue,request
could i have the address and phone number plea,request
could i have the address and phone number please,request
could i have the address and post code,request
could i have the address and price range please,request
could i have the address phone number,request
could i have the address phone number and,request
could i have the address phone number and area,request
could i have the address phone number and post code,request
could i have the address phone number and postcode,request
could i have the address phone number and price range please,request
could i have the address phone number and type of food,request
could i have the address please,request
could i have the area please,request
could i have the asian oriental restaurant,inform
could i have the phone number,request
could i have the phone number and address please,request
could i have the phone number and post code,request
could i have the phone number and post code please,request
could i have the phone number and type of food,request
could i have the phone number and type of venue,request
could i have the phone number please,request
could i have the restaurant that serves asian oriental food,inform
could i have the uh address and post code please,request
could i have their address and phone number,request
could i have their address and phone number please,request
could i have their address please,request
could i have their phone number and address please,request
could i have their phone number and post code,request
could i have their phone number and the type of food,request
could i have their phone number as well,request
could i or um thank you goodbye,thankyou
could you get me the phone number,request
could you give me a address,request
could you give me another venue,reqalts
could you give me the number,request
could you give me the phone number and post code,request
could you give the address phone number and post code,request
could you repeat that,repeat
could you repeat the name,request
could you repeat the phone number,request
could you repeat the restaurant name,request
creative,inform
creative food,inform
croatia,null
cross over,inform
cross over food,inform
cross talk how about gastro pub,reqalts
crossover,inform
crossover food,inform
crossover food in the north part of town,inform
crossover restaurant west part of town,inform
cuban,inform
cuban food,inform
cuban food cheap restaurant,inform
cuban restauran,inform
curry prince address and phone number,request
cut it thank you good bye,bye
cute thank you good bye,bye
danish,inform
danish food,inform
danish food in the center of town,inform
danish food in the south part of town,inform
derately priced,inform
did you hang up on me,null
did you see a korean restaurant,inform
different kind of food,request
do not care,inform
do they have,null
do they have turkish food,confirm
do they serve,null
do they serve chinese food,confirm
do they serve cuban,confirm
do they serve korean food,confirm
do they serve sea food,confirm
do they serve turkish food,confirm
do they serve unintelligible food,confirm
do they serve unusual food,confirm
do uh,null
do you got an address,request
do you have a phone number,request
do you have a place that serves turkish food,inform
do you have a restaurant that serves korean food,reqalts
do you have a restaurant that serves turkish food,reqalts
do you have an expensive restaurant,inform
do you have another,reqalts
do you have another option anything else,reqalts
do you have any asian oriental food,inform
do you have any other restaurant,reqalts
do you have any other restaurants,reqalts
do you have anything else,reqalts
do you have chinese food,inform
do you have christmas food,inform
do you have cuban food,inform
do you have jamaican restaurant,inform
do you have modern european food,inform
do you have prezzo,inform
do you have the address,request
do you have the address of the lucky star,request
do you have the phone number,request
do you have the phone number and post code,request
do you have the phone number of the address,request
do you have the post code,request
do you have vietnamese food,inform
does anyone serve eritrean food,inform
does do you know anyone who serves um,null
does it serve,request
does it serve african,confirm
does it serve african food,confirm
does it serve asian oriental,confirm
does it serve baskaye food,confirm
does it serve baskey food,confirm
does it serve canapes,confirm
does it serve canapes food,confirm
does it serve canapes food <noise>,confirm
does it serve caribbean food,confirm
does it serve cheap turkish food,confirm
does it serve chinese food,confirm
does it serve chinese type of food,confirm
does it serve christmas food,confirm
does it serve cuban food,confirm
does it serve endonesian,confirm
does it serve european type food,confirm
does it serve fusion food,confirm
does it serve gastropub,confirm
does it serve halal food,confirm
does it serve hungarian food,confirm
does it serve indian food,confirm
does it serve international food,confirm
does it serve italian food,confirm
does it serve kitalian food,confirm
does it serve korean,confirm
does it serve korean food,confirm
does it serve kosher food,confirm
does it serve m african food,confirm
does it serve mediterranean food,confirm
does it serve modern european food,confirm
does it serve polynesian food,confirm
does it serve sea food,confirm
does it serve spanish food,confirm
does it serve steakhouse food,confirm
does it serve swedish serve,confirm
does it serve thai food,confirm
does it serve vietnamese food,confirm
does it serve vietnamese type of food,confirm
does it what kind of food does it serve,request
does not matter,inform
doesnt it does not matter,inform
doesnt matter,inform
doesnt matter as long as it is moderately priced,inform
doesnt matter but it should be moderately priced,inform
doesnt matter i dont care,inform
doesnt matter thai food,inform
doesnt matter west part of town,inform
done,null
dont,null
dont care,inform
dont care dont care dont care,inform
dont care east part of town,inform
dont care expensive,inform
dont care is there anything else,reqalts
dont care moderate,inform
dont care want afghan food afghan food afghan,inform
dont care west part of town,inform
dont care whats the phone number,inform
dont know,inform
dont matter,inform
dont want that,deny
down town,inform
downtown,inform
dress,null
duration,null
earatrain,inform
earetree mediterranean food,inform
eartrain,inform
east,inform
east <noise>,inform
east of town,inform
east part,inform
east part of town,inform
east part of town i need an expensive restaurant,inform
east part of town serving swedish food,inform
east part ot tow,inform
east side,inform
eirtrean,inform
either one,inform
english,inform
english food,inform
english food center part of town,inform
english please,inform
enlish,inform
er do they serve eritrean food,confirm
eritrean,inform
eritrean food,inform
eritrean food <noise>,inform
eritrean food in the east part of town,inform
ese food,inform
european,inform
european european,inform
european food,inform
european food any price,inform
european food expensive restaurant,inform
european now,inform
european restaurant,inform
european type food,inform
european type of food,inform
excellent and what is the price range of that venue,request
excellent can you give me the phone number please,request
expe,null
expen,null
expensive,inform
expensive <noise>,inform
expensive african food,inform
expensive australian restaurant,inform
expensive east part of town,inform
expensive european,inform
expensive european food,inform
expensive expensive,inform
expensive fish restaurant,inform
expensive food,inform
expensive food in the south of town,inform
expensive french,inform
